title
Startup Talks at HPI
 HPI Academy: Certification Program for Design Thinking Coaches
clean-IT: Towards Sustainable Digital Technologies
openHPI Summer School
Wie das Web technisch funktioniert
Programmieren fürs Web
Künstliche Intelligenz und Maschinelles Lernen in der Praxis
HPI Academy: Strategic Design Thinking For Every Day - Winter 2021
Connected Healthcare: Gesundheitsdaten im Alltag erfassen und analysieren
Wegweisende Anwendungen im Web
Zum Web-Profi in drei Schritten - Prüfung
Algorithmen und Datenstrukturen mit Detektiv Duke
Digital Future Literacy - Fit für die digitale Zukunft
Design Thinking 4.0 – The Cultural Dimension of Digital Transformation
Datenschutz für Einsteigerinnen und Einsteiger
Learning @ Scale 2021 & EMOOCs 2021
A Step-by-Step Introduction to Process Mining
HPI Academy: Strategic Design Thinking For Every Day - Summer 2021
Digital Entrepreneurship
Blockchain - Revealing the Myth
HPI Academy: Professional Track Spring 2021
Cybersecurity Basics - Exam
Computeranatomie - Ein Blick ins Innere deines Rechners
Cyberthreats by Malware
Digital Identities
Confidential Communication in the Internet
Future of Computing - on the Road to Quantum
Knowledge Graphs 
Programmieren lernen mit Python
Mastering Design Thinking in Organizations
Computational Learning Theory and Beyond
Cybersecurity Basics - Prüfung
 Digital Health für Einsteiger
openHPI Forum 2020 - Lessons Learned about Digital Education in Times of Crisis
Künstliche Intelligenz und maschinelles Lernen für Einsteiger
HPI Academy: Leading Digital Transformation and Innovation - Fall 2020
A Half Century of Internet: How it works today
Let’s Git - Versionsverwaltung und OpenSource
Tatort Internet - Angriffsvektoren und Schutzmaßnahmen
Co-Innovation Journey for Startups and Corporates
Praktische Einführung in Deep Learning für Computer Vision
Objektorientierte Programmierung in Java
Data Engineering und Data Science – Klarheit in den Schlagwort-Dschungel
"Trolle, Hass und Fake-News: Wie können wir das Internet retten?"
"Die Technologie, die die Welt veränderte - 50 Jahre Internet "
Introduction to Successful Remote Teamwork
Netzwerkvirtualisierung - Von einfach bis zur Cloud
Human-Centered Design: Building and Testing Prototypes
Sicher per E-Mail kommunizieren - Mitleser unerwünscht
"Business Processes: Modeling, Simulation, Execution"
Beyond Brockhaus Thinking: With Design Thinking to a Networked Culture
Future of Computing - IBM POWER9 and beyond
Blockchain - Sicherheit auch ohne Trust Center
Wie programmiere ich meinen ersten Mini-Computer?
Patentrecht: So schützen Sie Ihre Innovation
Research Talks at HPI
Digitale Identitäten - Wer bin ich im Netz? 
Datensicherheit im Netz – Einführung in die Informationssicherheit
Mainframe - Crucial Role in Modern Enterprise Computing
Programmieren mit Ruby
Human-Centered Design: From Synthesis to Creative Ideas
Einführung in die Mathematik der Algorithmik
Java Capstone Series Pt. 1
Blockchain: Hype oder Innovation?
Object-Oriented Programming in Java
IPv6 in modernen Netzwerken
Information Service Engineering
IT-Recht für Software-Entwickler
Internet Security for Beginners
Linux für Alle
Big Data Analytics
Social Media - What No One has Told You about Privacy
In-Memory Data Management
Einführung in die Mathematik der Algorithmik
Inspirations for Design: A Course on Human-Centered Research
Embedded Smart Home
Mainframes
Wie funktioniert eine Suchmaschine?
Java Workshop: Einführung in eine Java-Programmierumgebung (IDE) 
Web-Technologien
Code of Life - When Computer Science Meets Genetics  
Linked Data Engineering
"Zusammenhänge entdecken, Phänomene verstehen: Programmieren mit Etoys"
Wie designe ich meine eigene Homepage?
Embedded Smart Home
Java Workshop - Einführung in die Testgetriebene Entwicklung mit JUnit
BPMN Meets DMN: Business Process and Decision Modeling
Unternehmensgründung im IT-Bereich - Wie gründe ich erfolgreich ein IT-Startup?
Sicherheit im Internet
Social Media - What No One has Told You about Privacy
Spielend Programmieren lernen
Knowledge Engineering with Semantic Web Technologies
Web Technologies
Java für Einsteiger
Automated Visual Software Analytics
Sichere Email
Internetworking with TCP/IP 
Parallel Programming Concepts 
Web-Technologien 
Datenmanagement mit SQL 
Semantic Web Technologies 
